,cell_id,age_category,mean_hw,std_hw,count
0,2025.06.18_000/slice_003/cell_001,Preweaning,0.317532440567289,0.0,1
1,2025.06.18_000/slice_003/cell_001,Preweaning,0.3861575922770987,0.0,1
2,2025.06.18_000/slice_003/cell_001,Preweaning,0.46934074855659913,0.0,1
3,2025.06.18_000/slice_003/cell_001,Preweaning,0.36993958245476416,0.0,1
4,2025.06.18_000/slice_003/cell_001,Preweaning,0.39495865817150005,0.0,1
5,2025.06.18_000/slice_003/cell_001,Preweaning,0.3033024739286782,0.0,1
6,2025.06.18_000/slice_003/cell_001,Preweaning,0.46461984118519334,0.0,1
7,2025.06.18_000/slice_003/cell_001,Preweaning,0.25330547297439593,0.0,1
8,2025.06.18_000/slice_003/cell_001,Preweaning,0.3555033338352182,0.0,1
9,2025.06.18_000/slice_003/cell_001,Preweaning,0.37879974614442086,0.0,1
10,2025.06.18_000/slice_003/cell_001,Preweaning,0.3719331373502621,0.0,1
11,2025.06.18_000/slice_003/cell_001,Preweaning,0.3332800493567909,0.0,1
12,2025.06.18_000/slice_003/cell_001,Preweaning,0.4257963555288123,0.0,1
13,2025.06.18_000/slice_003/cell_001,Preweaning,0.34288091220761424,0.0,1
14,2025.06.18_000/slice_003/cell_001,Preweaning,0.3691894656923391,0.0,1
15,2025.06.18_000/slice_003/cell_001,Preweaning,0.42686224570039616,0.0,1
16,2025.06.18_000/slice_003/cell_001,Preweaning,0.309022446241224,0.0,1
17,2025.06.18_000/slice_003/cell_001,Preweaning,0.2819731891009599,0.0,1
18,2025.06.18_000/slice_003/cell_001,Preweaning,0.26148340782862434,0.0,1
19,2025.06.18_000/slice_003/cell_001,Preweaning,0.31003170673176017,0.0,1
20,2025.06.18_000/slice_003/cell_001,Preweaning,0.29687392934007584,0.0,1
21,2025.06.18_000/slice_003/cell_001,Preweaning,0.22069259693283289,0.0,1
22,2025.06.18_000/slice_003/cell_001,Preweaning,0.2883220299744841,0.0,1
23,2025.06.18_000/slice_003/cell_001,Pubescent,0.29977319144298925,0.0,1
24,2025.06.18_000/slice_003/cell_001,Pubescent,0.36402169249469396,0.0,1
25,2025.06.18_000/slice_003/cell_001,Pubescent,0.2718170719445171,0.0,1
26,2025.06.18_000/slice_003/cell_001,Pubescent,0.28806955497444436,0.0,1
27,2025.06.18_000/slice_003/cell_001,Pubescent,0.39356200488945203,0.0,1
28,2025.06.18_000/slice_003/cell_001,Pubescent,0.450377128855876,0.0,1
29,2025.06.18_000/slice_003/cell_001,Pubescent,0.4422811994773758,0.0,1
30,2025.06.18_000/slice_003/cell_001,Pubescent,0.31835354626948836,0.0,1
31,2025.06.18_000/slice_003/cell_001,Pubescent,0.3543693703521152,0.0,1
32,2025.06.18_000/slice_003/cell_001,Pubescent,0.3255085996988773,0.0,1
33,2025.06.18_000/slice_003/cell_001,Pubescent,0.3405809997587722,0.0,1
34,2025.06.18_000/slice_003/cell_001,Pubescent,0.372687923977339,0.0,1
